ID,Cust_ID,Prod_ID,Ship_ID,Order_Date,Ship_Date,Customer_Name,Province,Region,Customer_Segment,Sales,Order_Quantity,Order_Priority,DaysTakenForShipping
1066,Cust_406,Prod_4,SHP_1473,28/11/2012,01/12/2012,KATRINA BAVINGER,MANITOBA,PRARIE,CONSUMER,37015205,38,NOT SPECIFIED,3
1067,Cust_397,Prod_1,SHP_1474,16/05/2009,16/05/2009,CHRISTINE SUNDARESAM,MANITOBA,PRARIE,SMALL BUSINESS,733345,27,CRITICAL,0
1068,Cust_398,Prod_12,SHP_1476,26/06/2012,27/06/2012,BRUCE STEWART,MANITOBA,PRARIE,CORPORATE,7694,15,HIGH,1
1068,Cust_398,Prod_8,SHP_1476,26/06/2012,27/06/2012,BRUCE STEWART,MANITOBA,PRARIE,CORPORATE,425651,41,HIGH,1
1069,Cust_402,Prod_13,SHP_1477,20/08/2011,22/08/2011,MARIA BERTELSON,MANITOBA,PRARIE,HOME OFFICE,25299,37,NOT SPECIFIED,2
107,Cust_75,Prod_6,SHP_147,30/09/2010,01/10/2010,NICOLE HANSEN,NORTHWEST TERRITORIES,NORTHWEST TERRITORIES,SMALL BUSINESS,15797,6,MEDIUM,1
1070,Cust_400,Prod_6,SHP_1478,14/10/2012,16/10/2012,MARY ZEWE,MANITOBA,PRARIE,CORPORATE,79432,20,HIGH,2
1070,Cust_400,Prod_17,SHP_1478,14/10/2012,16/10/2012,MARY ZEWE,MANITOBA,PRARIE,CORPORATE,1730485,36,HIGH,2
1071,Cust_408,Prod_8,SHP_1480,06/08/2009,07/08/2009,IVAN GIBSON,MANITOBA,PRARIE,CORPORATE,16389,31,HIGH,1
1071,Cust_408,Prod_6,SHP_1480,06/08/2009,07/08/2009,IVAN GIBSON,MANITOBA,PRARIE,CORPORATE,11545,12,HIGH,1
1072,Cust_401,Prod_4,SHP_1482,07/10/2009,09/10/2009,KEN LONSDALE,MANITOBA,PRARIE,CONSUMER,1642642,44,HIGH,2
1072,Cust_401,Prod_8,SHP_1482,07/10/2009,09/10/2009,KEN LONSDALE,MANITOBA,PRARIE,CONSUMER,15494,2,HIGH,2
1073,Cust_410,Prod_3,SHP_1484,03/08/2012,04/08/2012,LIZ THOMPSON,ONTARIO,ONTARIO,CORPORATE,27043,37,NOT SPECIFIED,1
1074,Cust_411,Prod_2,SHP_1485,31/12/2011,31/12/2011,MARIA BERTELSON,ONTARIO,ONTARIO,HOME OFFICE,133925,24,LOW,0
1075,Cust_411,Prod_10,SHP_1486,03/07/2009,04/07/2009,MARIA BERTELSON,ONTARIO,ONTARIO,HOME OFFICE,120937,8,HIGH,1
1076,Cust_412,Prod_3,SHP_1488,30/07/2009,30/07/2009,GUY THORNTON,ONTARIO,ONTARIO,CORPORATE,40424,23,LOW,0
1076,Cust_412,Prod_5,SHP_1488,30/07/2009,30/07/2009,GUY THORNTON,ONTARIO,ONTARIO,CORPORATE,138188,32,LOW,0
1077,Cust_411,Prod_1,SHP_1490,10/01/2009,12/01/2009,MARIA BERTELSON,ONTARIO,ONTARIO,HOME OFFICE,52358,3,LOW,2
1077,Cust_411,Prod_8,SHP_1490,10/01/2009,12/01/2009,MARIA BERTELSON,ONTARIO,ONTARIO,HOME OFFICE,130735,43,LOW,2
1078,Cust_413,Prod_3,SHP_1491,07/11/2012,08/11/2012,BRUCE STEWART,ONTARIO,ONTARIO,CORPORATE,25797,19,HIGH,1
1079,Cust_414,Prod_3,SHP_1492,07/02/2011,10/02/2011,BRIAN THOMPSON,ONTARIO,ONTARIO,HOME OFFICE,61977,42,CRITICAL,3
108,Cust_76,Prod_13,SHP_149,15/04/2010,15/04/2010,CARLOS SOLTERO,NORTHWEST TERRITORIES,NORTHWEST TERRITORIES,CONSUMER,12716,20,CRITICAL,0
108,Cust_76,Prod_6,SHP_149,15/04/2010,15/04/2010,CARLOS SOLTERO,NORTHWEST TERRITORIES,NORTHWEST TERRITORIES,CONSUMER,14484,25,CRITICAL,0
1080,Cust_415,Prod_2,SHP_1493,22/08/2010,24/08/2010,JOSEPH AIRDO,ONTARIO,ONTARIO,CORPORATE,751203,21,MEDIUM,2
1081,Cust_416,Prod_4,SHP_1494,12/03/2012,13/03/2012,CHRISTINA VANDERZANDEN,ONTARIO,ONTARIO,SMALL BUSINESS,28538835,27,HIGH,1
1082,Cust_417,Prod_8,SHP_1495,09/11/2011,09/11/2011,JOSEPH AIRDO,ONTARIO,ONTARIO,CONSUMER,24063,31,MEDIUM,0
1083,Cust_418,Prod_13,SHP_1496,01/11/2012,05/11/2012,KEN LONSDALE,ONTARIO,ONTARIO,CONSUMER,19233,44,LOW,4
1084,Cust_417,Prod_12,SHP_1497,18/07/2011,19/07/2011,JOSEPH AIRDO,ONTARIO,ONTARIO,CONSUMER,8062021,3,MEDIUM,1
1085,Cust_412,Prod_10,SHP_1498,29/09/2010,30/09/2010,GUY THORNTON,ONTARIO,ONTARIO,CORPORATE,166383,13,NOT SPECIFIED,1
1086,Cust_419,Prod_6,SHP_1499,25/01/2011,27/01/2011,ROBERT WALDORF,ONTARIO,ONTARIO,HOME OFFICE,26535,24,HIGH,2
1087,Cust_412,Prod_2,SHP_1500,25/06/2009,27/06/2009,GUY THORNTON,ONTARIO,ONTARIO,CORPORATE,738119,40,NOT SPECIFIED,2
1088,Cust_417,Prod_9,SHP_1501,27/04/2012,28/04/2012,JOSEPH AIRDO,ONTARIO,ONTARIO,CONSUMER,94536,25,HIGH,1
1089,Cust_416,Prod_9,SHP_1505,06/11/2010,08/11/2010,CHRISTINA VANDERZANDEN,ONTARIO,ONTARIO,SMALL BUSINESS,15905,27,LOW,2
1089,Cust_416,Prod_12,SHP_1505,06/11/2010,08/11/2010,CHRISTINA VANDERZANDEN,ONTARIO,ONTARIO,SMALL BUSINESS,11614,39,LOW,2
1089,Cust_416,Prod_2,SHP_1505,06/11/2010,08/11/2010,CHRISTINA VANDERZANDEN,ONTARIO,ONTARIO,SMALL BUSINESS,904633,46,LOW,2
109,Cust_68,Prod_17,SHP_150,14/09/2011,15/09/2011,DOROTHY BADDERS,NORTHWEST TERRITORIES,NORTHWEST TERRITORIES,HOME OFFICE,547212,4,NOT SPECIFIED,1
1090,Cust_420,Prod_15,SHP_1506,26/04/2009,30/04/2009,KATRINA BAVINGER,ONTARIO,ONTARIO,CONSUMER,334411,18,LOW,4
1091,Cust_421,Prod_3,SHP_1507,05/11/2012,05/11/2012,MEG O'CONNEL,ONTARIO,ONTARIO,SMALL BUSINESS,463,32,LOW,0
1092,Cust_1426,Prod_7,SHP_1508,05/09/2010,05/09/2010,BRUCE STEWART,NEW BRUNSWICK,ATLANTIC,CORPORATE,12337,27,NOT SPECIFIED,0
1092,Cust_1426,Prod_5,SHP_1508,05/09/2010,05/09/2010,BRUCE STEWART,NEW BRUNSWICK,ATLANTIC,CORPORATE,92782,43,NOT SPECIFIED,0
1093,Cust_422,Prod_13,SHP_1509,03/07/2011,06/07/2011,CHRISTINE SUNDARESAM,ONTARIO,ONTARIO,SMALL BUSINESS,11309,39,HIGH,3
1094,Cust_412,Prod_2,SHP_1510,12/01/2009,15/01/2009,GUY THORNTON,ONTARIO,ONTARIO,CORPORATE,160327,27,NOT SPECIFIED,3
1095,Cust_1688,Prod_3,SHP_1511,19/12/2009,19/12/2009,KEN LONSDALE,BRITISH COLUMBIA,WEST,CONSUMER,4153,4,HIGH,0
1095,Cust_1688,Prod_8,SHP_1511,19/12/2009,19/12/2009,KEN LONSDALE,BRITISH COLUMBIA,WEST,CONSUMER,165107,42,HIGH,0
1096,Cust_423,Prod_14,SHP_1512,14/06/2011,21/06/2011,LYCORIS SAUNDERS,ONTARIO,ONTARIO,HOME OFFICE,222261,3,LOW,7
1097,Cust_417,Prod_4,SHP_1513,21/11/2010,28/11/2010,JOSEPH AIRDO,ONTARIO,ONTARIO,CONSUMER,6181965,11,LOW,7
1098,Cust_424,Prod_6,SHP_1514,06/12/2009,06/12/2009,LYCORIS SAUNDERS,ONTARIO,ONTARIO,CORPORATE,7402,11,MEDIUM,0
1098,Cust_424,Prod_17,SHP_1514,06/12/2009,06/12/2009,LYCORIS SAUNDERS,ONTARIO,ONTARIO,CORPORATE,523614,13,MEDIUM,0
1099,Cust_425,Prod_13,SHP_1516,07/05/2010,08/05/2010,DOROTHY DICKINSON,ONTARIO,ONTARIO,CORPORATE,19808,47,CRITICAL,1
11,Cust_8,Prod_5,SHP_14,30/05/2011,31/05/2011,NEOLA SCHNEIDER,NUNAVUT,NUNAVUT,HOME OFFICE,181549,46,MEDIUM,1
